Vehicle ID,motor_cycle,truck_small,truck_large,bus,taxi,bicycle,scooter,pedestrian,inanimate,train,tram,vehicle_other,Driver_id
A-745052,0,0,0,0,0,0,0,0,0,0,0,1,1063447
A-745053,1,0,0,0,0,0,0,0,1,0,0,0,1065932
A-745054,0,0,0,0,0,0,0,0,0,0,0,0,1065936
A-745055,0,0,0,0,0,1,0,0,0,0,0,1,1066112
A-745056,0,0,0,0,0,0,0,0,2,0,0,0,1066084
A-745057,0,0,0,0,0,0,0,0,0,0,1,0,1066081
A-745058,0,0,0,0,0,0,0,0,3,0,0,0,1065896
A-745059,0,0,1,0,0,0,0,0,0,0,0,0,1066065
A-745060,0,0,1,0,0,0,0,0,0,0,0,0,1066071
A-745061,0,0,1,0,0,0,0,0,0,0,0,0,1062094
A-745062,0,0,2,0,0,0,0,0,0,0,0,0,1061154
A-745063,0,0,0,0,0,0,0,0,2,0,0,0,1066061
A-745064,0,0,0,0,0,0,0,0,0,0,1,0,1065863
A-745065,0,0,0,1,0,0,0,0,0,0,0,0,1065862
A-745066,0,0,0,0,0,0,0,0,0,0,0,1,1065854
A-745067,0,0,0,0,0,0,0,0,2,0,0,0,1065145
A-745068,0,0,0,0,0,0,0,0,0,0,0,0,1062260
A-745069,0,0,0,0,0,0,0,0,0,0,0,2,1065842
A-745070,0,0,0,0,0,0,0,0,0,0,0,1,1066018
A-745071,1,0,1,0,0,0,0,0,0,0,0,0,1049352
A-745072,0,0,1,1,0,0,0,0,0,0,0,0,1066016
A-745073,0,0,0,0,0,0,0,0,0,0,0,4,1065997
A-745074,0,0,0,0,1,0,0,0,0,0,0,0,1061891
A-745075,0,0,0,0,0,0,0,0,0,0,0,0,1065752
A-745076,0,0,1,0,0,0,0,0,3,0,0,0,1063126
A-745077,0,0,1,0,0,0,0,0,0,0,0,0,1065738
A-745078,0,1,0,0,0,0,0,0,0,0,0,1,1061467
A-745079,0,0,0,0,0,0,0,0,2,0,0,1,1065721
A-745080,0,0,0,2,0,0,0,0,0,0,0,0,1065717
A-745081,0,0,0,0,0,0,0,0,0,0,0,0,1065026
A-745082,0,0,0,0,0,0,0,0,2,0,0,1,1057001
A-745083,0,0,0,0,0,0,0,1,0,0,0,1,1065513
A-745084,0,0,0,1,0,0,0,0,0,0,0,0,1065698
A-745085,0,0,1,0,0,1,0,0,1,0,0,0,1065681
A-745086,0,0,1,0,0,0,0,0,1,0,0,0,1061788
A-745087,0,0,0,0,2,0,0,0,0,0,0,0,1065484
A-745088,0,0,0,0,0,0,0,1,0,0,0,0,1061681
A-745089,0,0,0,0,1,0,0,0,0,0,0,0,1065661
A-745090,0,0,1,0,0,0,0,0,0,0,0,0,1065663
A-745091,0,0,0,0,0,0,0,0,1,0,0,0,1065480
A-745092,0,0,0,0,0,1,0,0,0,0,0,0,1065658
A-745093,0,0,0,0,0,0,0,1,0,0,0,0,1065447
A-745094,1,0,0,0,1,0,0,0,0,0,0,0,1065470
A-745095,0,0,0,0,0,0,0,0,2,0,0,0,1065467
A-745096,0,0,0,0,0,0,1,0,0,0,0,0,1065649
A-745097,0,0,0,0,0,0,0,0,1,0,0,0,1065430
A-745098,0,0,1,0,0,0,0,0,2,0,0,1,1059462
A-745099,0,0,0,0,0,0,0,0,0,0,1,0,1064102
A-745100,0,0,0,0,0,0,0,0,0,0,0,0,1062399
A-745101,0,0,0,0,0,0,0,0,0,0,0,2,1065572
A-745102,0,0,0,0,0,0,0,0,0,0,0,0,1065567
A-745103,0,0,0,0,0,2,0,0,0,0,0,0,1065342
A-745104,0,0,0,0,0,0,0,0,2,0,0,0,1065355
A-745105,0,0,0,0,0,0,0,0,0,0,0,1,1058717
